keys,es,en
AUD_CAR,Auto,Car
AUD_MASTER,Volumen general,Master volume
AUD_MOTORS,Motores,Motors
AUD_MUTE,Silenciar todo,Mute all
AUD_SUBTITLE,Volumen general y por grupo de sonidos,Overall and per group volume
AUD_TITLE,Audio,Audio
AUD_UI,Interfaz,Interface
CAL_AXIS_PITCH,pitch,pitch
CAL_AXIS_TAKEN,Ese eje ya es el %s: mové otro.,That axis is already the %s: move another one.
CAL_AXIS_THROTTLE,acelerador,throttle
CAL_AXIS_YAW,yaw,yaw
CAL_SAVE_ERROR,No se pudo guardar la calibración en el archivo de configuración.,Could not save the calibration data to the configuration file.
CAL_STEP_CENTER,Centrá los sticks,Center the sticks
CAL_STEP_CORNERS,Llevá los sticks a las esquinas,Move the sticks to the corners
CAL_STEP_PITCH_CENTER,Pitch al centro,Center pitch
CAL_STEP_PITCH_DOWN,Pitch abajo,Pitch down
CAL_STEP_PITCH_UP,Pitch arriba,Pitch up
CAL_STEP_ROLL_CENTER,Roll al centro,Center roll
CAL_STEP_ROLL_LEFT,Roll a la izquierda,Roll left
CAL_STEP_ROLL_RIGHT,Roll a la derecha,Roll right
CAL_STEP_THROTTLE_CENTER,Acelerador al centro,Center the throttle
CAL_STEP_THROTTLE_DOWN,Acelerador abajo,Throttle down
CAL_STEP_THROTTLE_UP,Acelerador arriba,Throttle up
CAL_STEP_YAW_CENTER,Yaw al centro,Center yaw
CAL_STEP_YAW_LEFT,Yaw a la izquierda,Yaw left
CAL_STEP_YAW_RIGHT,Yaw a la derecha,Yaw right
CAL_SUCCESS,Calibración completa,Calibration successful
CAL_TITLE,Calibrando…,Calibrating…
CAL_TITLE_DEVICE,Calibrando %s…,Calibrating %s…
CAL_WRONG_DEVICE,Mové los ejes de %s.,Please move the axes of %s.
CTRL_ACTION_ARM_HOLD,Armar (mantener),Arm (hold)
CTRL_ACTION_ARM_TOGGLE,Armar (alternar),Arm (toggle)
CTRL_ACTION_CHANGE_CAMERA,Cambiar vista (piloto / gimbal),Switch view (pilot / gimbal)
CTRL_ACTION_CYCLE_MODES,Cambiar modo de vuelo,Cycle flight modes
CTRL_ACTION_GIMBAL_DOWN,Gimbal abajo,Gimbal down
CTRL_ACTION_GIMBAL_UP,Gimbal arriba,Gimbal up
CTRL_ACTION_MODE_LAUNCH,Modo: Control de lanzamiento,Mode: Launch control
CTRL_ACTION_MODE_TURTLE,Modo: Tortuga,Mode: Turtle
CTRL_ACTION_PILOT_TOGGLE,Tomar / soltar el control,Take / release the controller
CTRL_ACTION_REC,Grabar / detener,Record / stop
CTRL_ACTION_RESPAWN,Volver al punto de despegue,Back to the take-off spot
CTRL_ACTION_SHOW_MAP,Tablet con el mapa,Map tablet
CTRL_ACTIVE_CONTROLLER,MANDO ACTIVO,ACTIVE CONTROLLER
CTRL_AXES,EJES,AXES
CTRL_AXIS_N,Eje %d,Axis %d
CTRL_BINDINGS,ASIGNACIONES,BINDINGS
CTRL_BINDING_CAPTURED,Detectado. Confirmá para guardar la asignación.,Detected. Confirm to save the binding.
CTRL_BINDING_LISTENING,Pulsá un botón o mové un switch del mando.,Press a button or flip a switch on your controller.
CTRL_BUTTONS,BOTONES,BUTTONS
CTRL_BUTTON_N,Botón %d,Button %d
CTRL_CALIBRATE,Calibrar ejes,Calibrate axes
CTRL_CLEAR,Quitar,Clear
